 lam_A  lam_B      DG   +/-     s_A   +/-     s_B   +/-   stdev   +/- 
     0      1    0.08  0.01    0.04  0.01    0.04  0.01    0.23  0.01
     1      2    0.06  0.01    0.03  0.01    0.04  0.02    0.25  0.01
     2      3    0.04  0.02    0.04  0.02    0.05  0.02    0.28  0.01
     3      4    0.01  0.01    0.04  0.01    0.05  0.01    0.30  0.01
     4      5    0.00  0.01    0.04  0.00   -0.01  0.05    0.35  0.02
     5      6    0.03  0.01    0.05  0.04    0.05  0.00    0.26  0.01
     6      7   -0.03  0.02    0.08  0.02    0.09  0.02    0.33  0.01
     7      8   -0.08  0.03    0.06  0.02    0.07  0.02    0.35  0.01
     8      9   -0.10  0.02    0.04  0.03    0.06  0.03    0.37  0.01
     9     10   -0.12  0.04    0.07  0.02    0.09  0.03    0.40  0.03
    10     11   -0.20  0.03    0.11  0.03    0.14  0.03    0.46  0.03
    11     12   -0.36  0.05    0.17  0.02    0.20  0.02    0.53  0.04
    12     13   -0.48  0.06    0.13  0.07    0.16  0.07    0.56  0.04
    13     14   -0.65  0.10    0.23  0.02    0.24  0.02    0.58  0.02
    14     15   -0.64  0.04    0.03  0.05    0.03  0.06    0.45  0.01
    15     16   -0.55  0.02    0.11  0.04    0.10  0.04    0.34  0.01
    16     17   -0.45  0.01    0.03  0.03    0.02  0.03    0.23  0.01
    17     18   -0.30  0.01    0.01  0.02    0.01  0.02    0.18  0.01
    18     19   -0.17  0.01    0.01  0.01    0.01  0.01    0.13  0.01
    19     20   -0.06  0.01    0.00  0.01    0.00  0.01    0.09  0.00
